Single
3648
Scan 0,   
455, 75.0
456, 80.0
457, 81.0
458, 82.0
459, 78.0
460, 78.0
461, 76.0
462, 81.0
463, 71.0
464, 81.0
465, 76.0
466, 80.0
467, 73.0
468, 83.0
469, 79.0
470, 77.0
471, 80.0
472, 82.0
473, 79.0
474, 84.0
475, 77.0
476, 75.0
477, 74.0
478, 79.0
479, 74.0
480, 79.0
481, 75.0
482, 82.0
483, 73.0
484, 82.0
485, 75.0
486, 75.0
487, 74.0
488, 79.0
489, 73.0
490, 76.0
491, 76.0
492, 78.0
493, 75.0
494, 79.0
495, 79.0
496, 75.0
497, 78.0
498, 80.0
499, 78.0
500, 84.0
501, 76.0
502, 78.0
503, 71.0
504, 83.0
505, 77.0
506, 80.0
507, 81.0
508, 83.0
509, 78.0
510, 79.0
511, 76.0
512, 77.0
513, 78.0
514, 73.0
515, 79.0
516, 80.0
517, 74.0
518, 79.0
519, 82.0
520, 76.0
521, 80.0
522, 80.0
523, 76.0
524, 77.0
525, 75.0
526, 76.0
527, 75.0
528, 76.0
529, 81.0
530, 80.0
531, 79.0
532, 78.0
533, 77.0
534, 76.0
535, 78.0
536, 77.0
537, 82.0
538, 81.0
539, 77.0
540, 73.0
541, 84.0
542, 78.0
543, 81.0
544, 82.0
545, 78.0
546, 76.0
547, 81.0
548, 81.0
549, 79.0
550, 81.0
551, 81.0
552, 80.0
553, 75.0
554, 79.0
555, 76.0
556, 83.0
557, 79.0
558, 79.0
559, 75.0
560, 79.0
561, 79.0
562, 80.0
563, 78.0
564, 83.0
565, 73.0
566, 81.0
567, 76.0
568, 78.0
569, 75.0
570, 81.0
571, 75.0
572, 83.0
573, 77.0
574, 86.0
575, 79.0
576, 79.0
577, 76.0
578, 78.0
579, 74.0
580, 76.0
581, 78.0
582, 82.0
583, 75.0
584, 76.0
585, 75.0
586, 81.0
587, 81.0
588, 83.0
589, 78.0
590, 74.0
591, 81.0
592, 81.0
593, 84.0
594, 77.0
595, 71.0
596, 74.0
597, 77.0
598, 82.0
599, 72.0
600, 76.0
601, 76.0
602, 79.0
603, 80.0
604, 79.0
605, 76.0
606, 81.0
607, 77.0
608, 82.0
609, 74.0
610, 82.0
611, 74.0
612, 83.0
613, 76.0
614, 79.0
615, 74.0
616, 81.0
617, 81.0
618, 79.0
619, 78.0
620, 77.0
621, 74.0
622, 74.0
623, 76.0
624, 76.0
625, 81.0
626, 79.0
627, 73.0
628, 83.0
629, 79.0
630, 80.0
631, 76.0
632, 79.0
633, 78.0
634, 76.0
635, 78.0
636, 80.0
637, 76.0
638, 79.0
639, 79.0
640, 85.0
641, 77.0
642, 85.0
643, 76.0
644, 79.0
645, 76.0
646, 78.0
647, 80.0
648, 82.0
649, 78.0
650, 76.0
651, 75.0
652, 76.0
653, 79.0
654, 77.0
655, 73.0
656, 81.0
657, 76.0
658, 79.0
659, 77.0
660, 81.0
661, 81.0
662, 83.0
663, 76.0
664, 80.0
665, 76.0
666, 82.0
667, 71.0
668, 79.0
669, 78.0
670, 77.0
671, 76.0
672, 77.0
673, 77.0
674, 81.0
675, 76.0
676, 78.0
677, 71.0
678, 79.0
679, 77.0
680, 78.0
681, 75.0
682, 77.0
683, 73.0
684, 77.0
685, 75.0
686, 77.0
687, 79.0
688, 80.0
689, 78.0
690, 81.0
691, 75.0
692, 81.0
693, 77.0
694, 77.0
695, 78.0
696, 80.0
697, 78.0
698, 78.0
699, 78.0
700, 81.0
701, 75.0
702, 76.0
703, 70.0
704, 78.0
705, 76.0
706, 80.0
707, 73.0
708, 80.0
709, 79.0
710, 82.0
711, 78.0
712, 76.0
713, 78.0
714, 84.0
715, 78.0
716, 81.0
717, 73.0
718, 79.0
719, 77.0
