Single
3648
Scan 0,   
455, 62.0
456, 61.0
457, 66.0
458, 64.0
459, 56.0
460, 63.0
461, 60.0
462, 60.0
463, 67.0
464, 63.0
465, 61.0
466, 62.0
467, 59.0
468, 69.0
469, 63.0
470, 63.0
471, 65.0
472, 63.0
473, 63.0
474, 63.0
475, 61.0
476, 67.0
477, 66.0
478, 62.0
479, 61.0
480, 65.0
481, 65.0
482, 62.0
483, 65.0
484, 65.0
485, 62.0
486, 60.0
487, 61.0
488, 59.0
489, 60.0
490, 61.0
491, 59.0
492, 65.0
493, 67.0
494, 62.0
495, 61.0
496, 63.0
497, 60.0
498, 65.0
499, 60.0
500, 62.0
501, 64.0
502, 61.0
503, 60.0
504, 61.0
505, 60.0
506, 63.0
507, 60.0
508, 63.0
509, 63.0
510, 63.0
511, 62.0
512, 59.0
513, 65.0
514, 67.0
515, 67.0
516, 62.0
517, 63.0
518, 63.0
519, 59.0
520, 61.0
521, 63.0
522, 60.0
523, 59.0
524, 64.0
525, 59.0
526, 61.0
527, 64.0
528, 61.0
529, 61.0
530, 63.0
531, 65.0
532, 66.0
533, 65.0
534, 68.0
535, 63.0
536, 60.0
537, 60.0
538, 61.0
539, 64.0
540, 63.0
541, 57.0
542, 65.0
543, 62.0
544, 65.0
545, 65.0
546, 63.0
547, 61.0
548, 62.0
549, 62.0
550, 65.0
551, 56.0
552, 60.0
553, 59.0
554, 66.0
555, 64.0
556, 60.0
557, 60.0
558, 61.0
559, 58.0
560, 66.0
561, 63.0
562, 64.0
563, 65.0
564, 62.0
565, 62.0
566, 58.0
567, 61.0
568, 58.0
569, 63.0
570, 63.0
571, 62.0
572, 63.0
573, 68.0
574, 69.0
575, 60.0
576, 62.0
577, 65.0
578, 63.0
579, 62.0
580, 64.0
581, 62.0
582, 58.0
583, 62.0
584, 65.0
585, 59.0
586, 60.0
587, 65.0
588, 61.0
589, 61.0
590, 63.0
591, 63.0
592, 62.0
593, 61.0
594, 64.0
595, 66.0
596, 62.0
597, 62.0
598, 59.0
599, 67.0
600, 62.0
601, 61.0
602, 61.0
603, 63.0
604, 64.0
605, 62.0
606, 63.0
607, 60.0
608, 60.0
609, 67.0
610, 60.0
611, 66.0
612, 63.0
