Single
3648
Scan 0,   
455, 75.0
456, 73.0
457, 76.0
458, 78.0
459, 74.0
460, 79.0
461, 71.0
462, 74.0
463, 72.0
464, 74.0
465, 74.0
466, 76.0
467, 76.0
468, 83.0
469, 75.0
470, 76.0
471, 75.0
472, 74.0
473, 76.0
474, 77.0
475, 78.0
476, 79.0
477, 73.0
478, 77.0
479, 79.0
480, 76.0
481, 76.0
482, 79.0
483, 78.0
484, 72.0
485, 77.0
486, 78.0
487, 79.0
488, 79.0
489, 70.0
490, 76.0
491, 79.0
492, 74.0
493, 81.0
494, 69.0
495, 80.0
496, 74.0
497, 77.0
498, 73.0
499, 74.0
500, 76.0
501, 70.0
502, 78.0
503, 75.0
504, 74.0
505, 68.0
506, 72.0
507, 77.0
508, 76.0
509, 68.0
510, 74.0
511, 76.0
512, 77.0
513, 75.0
514, 74.0
515, 73.0
516, 74.0
517, 76.0
518, 75.0
519, 76.0
520, 74.0
521, 75.0
522, 76.0
523, 75.0
524, 76.0
525, 74.0
526, 78.0
527, 73.0
528, 75.0
529, 77.0
530, 73.0
531, 76.0
532, 73.0
533, 72.0
534, 76.0
535, 76.0
536, 77.0
537, 76.0
538, 75.0
539, 75.0
540, 76.0
541, 74.0
542, 74.0
543, 73.0
544, 78.0
545, 71.0
546, 78.0
547, 76.0
548, 80.0
549, 79.0
550, 78.0
551, 73.0
552, 79.0
553, 76.0
554, 77.0
555, 76.0
556, 80.0
557, 76.0
558, 78.0
559, 69.0
560, 81.0
561, 73.0
562, 74.0
563, 72.0
564, 74.0
565, 77.0
566, 72.0
567, 75.0
568, 77.0
569, 73.0
570, 73.0
571, 73.0
572, 74.0
573, 77.0
574, 72.0
575, 75.0
576, 76.0
577, 77.0
578, 77.0
579, 75.0
580, 72.0
581, 77.0
582, 76.0
583, 73.0
584, 75.0
585, 80.0
586, 78.0
587, 74.0
588, 74.0
589, 73.0
590, 78.0
591, 74.0
592, 75.0
593, 73.0
594, 76.0
595, 76.0
596, 77.0
597, 78.0
598, 74.0
599, 76.0
600, 75.0
601, 78.0
602, 76.0
603, 76.0
604, 76.0
605, 77.0
606, 74.0
607, 74.0
608, 76.0
609, 76.0
