Single
3648
Scan 0,   
455, 78.0
456, 79.0
457, 79.0
458, 77.0
459, 79.0
460, 80.0
461, 74.0
462, 78.0
463, 79.0
464, 78.0
465, 76.0
466, 82.0
467, 71.0
468, 81.0
469, 74.0
470, 84.0
471, 74.0
472, 76.0
473, 76.0
474, 79.0
475, 79.0
476, 77.0
477, 77.0
478, 75.0
479, 76.0
480, 77.0
481, 77.0
482, 80.0
483, 80.0
484, 77.0
485, 75.0
486, 77.0
487, 77.0
488, 79.0
489, 75.0
490, 78.0
491, 81.0
492, 79.0
493, 75.0
494, 76.0
495, 78.0
496, 78.0
497, 78.0
498, 76.0
499, 76.0
500, 79.0
501, 80.0
502, 77.0
503, 75.0
504, 84.0
505, 77.0
506, 78.0
507, 78.0
508, 81.0
509, 80.0
510, 83.0
511, 77.0
512, 77.0
513, 78.0
514, 78.0
515, 74.0
516, 77.0
517, 73.0
518, 72.0
519, 73.0
520, 80.0
521, 77.0
522, 78.0
523, 78.0
524, 77.0
525, 78.0
526, 78.0
527, 71.0
528, 83.0
529, 78.0
530, 82.0
531, 81.0
532, 79.0
533, 78.0
534, 76.0
535, 76.0
536, 78.0
537, 78.0
538, 84.0
539, 75.0
540, 80.0
541, 77.0
542, 79.0
543, 76.0
544, 78.0
545, 82.0
546, 77.0
547, 75.0
548, 79.0
549, 78.0
550, 84.0
551, 76.0
552, 84.0
553, 77.0
554, 81.0
555, 79.0
556, 80.0
557, 77.0
558, 80.0
559, 72.0
560, 72.0
561, 71.0
562, 79.0
563, 80.0
564, 77.0
565, 77.0
566, 76.0
567, 72.0
568, 74.0
569, 78.0
570, 82.0
571, 74.0
572, 84.0
573, 80.0
574, 79.0
575, 73.0
576, 76.0
577, 80.0
578, 75.0
579, 80.0
580, 83.0
581, 73.0
582, 77.0
583, 77.0
584, 76.0
585, 80.0
586, 75.0
587, 81.0
588, 81.0
589, 66.0
590, 79.0
591, 79.0
592, 77.0
593, 74.0
594, 79.0
595, 77.0
596, 78.0
597, 78.0
598, 76.0
599, 74.0
600, 77.0
601, 75.0
602, 78.0
603, 75.0
604, 74.0
605, 70.0
606, 76.0
607, 74.0
608, 80.0
609, 77.0
610, 84.0
611, 79.0
612, 78.0
613, 74.0
614, 81.0
615, 79.0
616, 79.0
617, 72.0
618, 82.0
619, 83.0
620, 78.0
621, 78.0
622, 77.0
623, 76.0
624, 81.0
625, 76.0
626, 76.0
627, 77.0
628, 81.0
629, 73.0
630, 78.0
631, 75.0
632, 79.0
633, 73.0
634, 78.0
635, 76.0
636, 82.0
637, 82.0
638, 81.0
639, 80.0
640, 80.0
641, 77.0
642, 80.0
643, 77.0
644, 79.0
645, 74.0
646, 74.0
647, 80.0
648, 77.0
649, 73.0
650, 80.0
651, 77.0
652, 79.0
653, 81.0
654, 81.0
655, 80.0
656, 82.0
657, 80.0
658, 80.0
659, 76.0
660, 77.0
661, 74.0
662, 78.0
663, 76.0
664, 80.0
665, 74.0
666, 80.0
667, 75.0
668, 81.0
669, 73.0
670, 78.0
671, 79.0
672, 80.0
673, 75.0
674, 80.0
675, 78.0
676, 78.0
677, 78.0
678, 80.0
679, 75.0
680, 82.0
681, 81.0
682, 71.0
683, 77.0
684, 77.0
685, 74.0
686, 80.0
687, 78.0
688, 81.0
689, 77.0
690, 77.0
691, 80.0
692, 77.0
693, 79.0
694, 77.0
695, 76.0
696, 83.0
697, 74.0
698, 79.0
699, 77.0
700, 80.0
701, 73.0
702, 75.0
703, 79.0
704, 79.0
705, 74.0
706, 77.0
707, 70.0
708, 84.0
709, 75.0
710, 79.0
711, 78.0
712, 75.0
713, 82.0
714, 77.0
715, 70.0
716, 76.0
717, 78.0
718, 80.0
719, 75.0
720, 80.0
721, 77.0
722, 83.0
723, 74.0
724, 82.0
725, 70.0
726, 76.0
727, 72.0
728, 80.0
729, 78.0
730, 82.0
731, 78.0
732, 80.0
733, 75.0
734, 82.0
735, 74.0
736, 82.0
737, 77.0
738, 78.0
739, 73.0
740, 78.0
741, 81.0
742, 83.0
743, 75.0
744, 77.0
745, 73.0
746, 81.0
747, 77.0
748, 80.0
749, 78.0
750, 78.0
751, 77.0
752, 83.0
753, 78.0
754, 80.0
755, 79.0
756, 79.0
757, 74.0
758, 80.0
759, 74.0
760, 80.0
761, 72.0
762, 80.0
763, 75.0
764, 79.0
765, 74.0
766, 82.0
767, 79.0
768, 74.0
769, 76.0
770, 77.0
771, 78.0
772, 77.0
773, 75.0
774, 79.0
775, 75.0
776, 75.0
777, 75.0
778, 78.0
779, 78.0
780, 82.0
781, 75.0
782, 79.0
783, 78.0
784, 78.0
785, 80.0
786, 80.0
787, 77.0
788, 81.0
789, 75.0
790, 81.0
791, 75.0
792, 81.0
793, 76.0
794, 78.0
795, 77.0
796, 81.0
797, 78.0
798, 79.0
799, 77.0
800, 77.0
801, 79.0
802, 80.0
803, 75.0
804, 80.0
805, 75.0
806, 79.0
807, 78.0
808, 76.0
809, 75.0
810, 79.0
811, 82.0
812, 81.0
813, 74.0
814, 82.0
815, 75.0
816, 80.0
817, 77.0
818, 82.0
819, 80.0
820, 76.0
821, 76.0
822, 77.0
823, 77.0
824, 78.0
825, 73.0
826, 72.0
827, 72.0
828, 80.0
829, 82.0
830, 80.0
831, 77.0
832, 75.0
833, 80.0
834, 83.0
835, 75.0
836, 74.0
837, 78.0
838, 81.0
839, 76.0
840, 78.0
841, 79.0
842, 77.0
843, 75.0
844, 79.0
845, 78.0
846, 77.0
847, 76.0
848, 80.0
849, 76.0
850, 81.0
851, 78.0
852, 76.0
853, 77.0
854, 75.0
855, 73.0
856, 78.0
857, 73.0
858, 76.0
859, 75.0
860, 82.0
861, 73.0
862, 76.0
863, 75.0
864, 78.0
865, 76.0
866, 77.0
867, 74.0
868, 78.0
869, 76.0
870, 76.0
871, 76.0
872, 74.0
873, 75.0
874, 76.0
875, 75.0
876, 80.0
877, 76.0
878, 78.0
879, 72.0
880, 79.0
881, 73.0
882, 77.0
883, 75.0
884, 82.0
885, 78.0
886, 80.0
887, 78.0
888, 73.0
889, 77.0
890, 80.0
891, 74.0
892, 77.0
893, 78.0
894, 82.0
895, 75.0
896, 80.0
897, 75.0
898, 78.0
899, 78.0
900, 75.0
901, 80.0
902, 78.0
903, 74.0
904, 79.0
905, 77.0
906, 76.0
907, 73.0
908, 80.0
909, 74.0
910, 77.0
911, 75.0
912, 78.0
913, 75.0
914, 77.0
915, 78.0
916, 82.0
917, 76.0
918, 80.0
919, 73.0
920, 77.0
921, 78.0
922, 82.0
923, 78.0
924, 77.0
925, 75.0
926, 81.0
927, 78.0
928, 76.0
929, 76.0
930, 77.0
931, 81.0
932, 78.0
933, 77.0
934, 77.0
935, 76.0
936, 77.0
937, 75.0
938, 79.0
939, 78.0
940, 79.0
941, 75.0
942, 80.0
943, 75.0
944, 81.0
945, 78.0
946, 76.0
947, 78.0
948, 78.0
949, 78.0
950, 78.0
951, 78.0
952, 78.0
953, 75.0
954, 77.0
955, 77.0
956, 78.0
957, 75.0
958, 78.0
959, 76.0
960, 79.0
961, 78.0
962, 80.0
963, 76.0
964, 81.0
965, 77.0
966, 75.0
967, 70.0
968, 80.0
969, 76.0
970, 77.0
971, 75.0
972, 76.0
973, 77.0
974, 84.0
975, 76.0
976, 77.0
977, 74.0
978, 78.0
979, 78.0
980, 78.0
981, 79.0
982, 80.0
983, 76.0
984, 80.0
985, 74.0
986, 78.0
987, 72.0
988, 79.0
989, 72.0
990, 82.0
991, 75.0
992, 74.0
993, 74.0
994, 75.0
995, 76.0
996, 75.0
997, 74.0
998, 76.0
999, 79.0
1000, 79.0
1001, 77.0
1002, 80.0
1003, 74.0
1004, 80.0
1005, 77.0
1006, 78.0
1007, 74.0
1008, 76.0
1009, 75.0
1010, 78.0
1011, 74.0
1012, 77.0
1013, 79.0
1014, 83.0
1015, 83.0
1016, 78.0
1017, 77.0
1018, 80.0
1019, 74.0
1020, 79.0
1021, 75.0
1022, 72.0
1023, 80.0
1024, 79.0
1025, 76.0
1026, 77.0
1027, 76.0
1028, 77.0
1029, 79.0
1030, 76.0
1031, 77.0
1032, 78.0
1033, 76.0
1034, 76.0
1035, 80.0
1036, 80.0
1037, 78.0
1038, 81.0
1039, 78.0
1040, 78.0
1041, 78.0
1042, 82.0
1043, 78.0
1044, 80.0
1045, 77.0
1046, 77.0
1047, 75.0
1048, 78.0
1049, 74.0
1050, 86.0
1051, 81.0
1052, 76.0
1053, 80.0
1054, 80.0
1055, 74.0
1056, 82.0
1057, 78.0
1058, 78.0
1059, 78.0
1060, 74.0
1061, 78.0
1062, 77.0
1063, 77.0
1064, 80.0
1065, 76.0
1066, 80.0
1067, 75.0
1068, 78.0
1069, 77.0
1070, 81.0
1071, 81.0
1072, 80.0
1073, 78.0
1074, 77.0
1075, 75.0
1076, 81.0
1077, 81.0
1078, 82.0
1079, 75.0
1080, 80.0
1081, 79.0
1082, 84.0
1083, 74.0
1084, 80.0
1085, 75.0
1086, 83.0
1087, 75.0
1088, 81.0
1089, 77.0
1090, 78.0
1091, 75.0
1092, 77.0
1093, 73.0
1094, 79.0
1095, 74.0
1096, 81.0
1097, 78.0
1098, 81.0
1099, 76.0
1100, 81.0
1101, 76.0
1102, 76.0
1103, 79.0
1104, 81.0
1105, 80.0
1106, 80.0
1107, 76.0
1108, 81.0
1109, 74.0
1110, 76.0
1111, 76.0
1112, 79.0
1113, 76.0
1114, 80.0
1115, 77.0
1116, 78.0
1117, 76.0
1118, 77.0
1119, 73.0
1120, 82.0
1121, 80.0
1122, 84.0
1123, 78.0
1124, 79.0
1125, 77.0
1126, 80.0
1127, 76.0
1128, 80.0
1129, 78.0
1130, 78.0
1131, 76.0
1132, 80.0
1133, 75.0
1134, 82.0
1135, 77.0
1136, 80.0
1137, 77.0
1138, 80.0
1139, 75.0
1140, 80.0
1141, 75.0
1142, 76.0
1143, 77.0
1144, 78.0
1145, 79.0
1146, 80.0
1147, 81.0
1148, 76.0
1149, 79.0
1150, 78.0
1151, 74.0
1152, 85.0
1153, 77.0
1154, 82.0
1155, 78.0
1156, 77.0
1157, 73.0
1158, 81.0
1159, 73.0
1160, 78.0
1161, 77.0
1162, 77.0
1163, 76.0
1164, 74.0
1165, 80.0
1166, 76.0
1167, 72.0
1168, 76.0
1169, 74.0
1170, 80.0
1171, 80.0
1172, 80.0
1173, 76.0
1174, 78.0
1175, 75.0
1176, 78.0
1177, 76.0
1178, 83.0
1179, 85.0
1180, 76.0
1181, 76.0
1182, 79.0
1183, 80.0
1184, 80.0
1185, 74.0
1186, 75.0
1187, 77.0
1188, 82.0
1189, 77.0
1190, 79.0
1191, 74.0
1192, 80.0
1193, 79.0
1194, 79.0
1195, 73.0
1196, 82.0
1197, 80.0
1198, 81.0
1199, 78.0
1200, 80.0
1201, 75.0
1202, 78.0
1203, 83.0
1204, 79.0
1205, 76.0
1206, 82.0
1207, 73.0
1208, 80.0
1209, 79.0
1210, 79.0
1211, 79.0
1212, 77.0
1213, 78.0
1214, 75.0
1215, 75.0
1216, 80.0
1217, 72.0
1218, 81.0
1219, 75.0
1220, 81.0
1221, 75.0
1222, 77.0
1223, 72.0
1224, 75.0
1225, 79.0
1226, 78.0
1227, 72.0
1228, 76.0
1229, 80.0
1230, 78.0
1231, 77.0
1232, 78.0
1233, 78.0
1234, 80.0
1235, 75.0
1236, 81.0
1237, 78.0
1238, 78.0
1239, 79.0
1240, 81.0
1241, 78.0
1242, 76.0
1243, 80.0
1244, 75.0
1245, 80.0
1246, 74.0
1247, 76.0
1248, 80.0
1249, 72.0
1250, 77.0
1251, 77.0
1252, 80.0
1253, 80.0
1254, 77.0
1255, 82.0
1256, 76.0
1257, 73.0
1258, 77.0
1259, 76.0
1260, 78.0
1261, 82.0
1262, 79.0
1263, 78.0
1264, 76.0
1265, 81.0
1266, 77.0
1267, 73.0
1268, 78.0
1269, 76.0
1270, 76.0
1271, 78.0
1272, 75.0
1273, 76.0
1274, 81.0
1275, 76.0
1276, 78.0
1277, 74.0
1278, 78.0
1279, 82.0
1280, 80.0
1281, 79.0
1282, 80.0
1283, 74.0
1284, 78.0
1285, 74.0
1286, 78.0
1287, 73.0
1288, 84.0
1289, 76.0
1290, 78.0
1291, 74.0
1292, 77.0
1293, 73.0
1294, 78.0
1295, 74.0
1296, 80.0
1297, 75.0
1298, 79.0
1299, 78.0
1300, 78.0
1301, 77.0
1302, 77.0
1303, 76.0
1304, 84.0
1305, 79.0
1306, 80.0
1307, 76.0
1308, 83.0
1309, 80.0
1310, 81.0
1311, 79.0
1312, 81.0
1313, 78.0
1314, 80.0
1315, 75.0
1316, 78.0
1317, 77.0
1318, 75.0
1319, 80.0
1320, 80.0
1321, 78.0
1322, 82.0
1323, 78.0
1324, 83.0
1325, 74.0
1326, 75.0
1327, 77.0
1328, 81.0
1329, 77.0
1330, 81.0
1331, 75.0
1332, 81.0
1333, 81.0
1334, 78.0
1335, 76.0
1336, 79.0
1337, 75.0
1338, 79.0
1339, 76.0
1340, 80.0
1341, 79.0
1342, 71.0
1343, 79.0
1344, 80.0
1345, 78.0
1346, 81.0
1347, 77.0
1348, 80.0
1349, 77.0
1350, 82.0
1351, 75.0
1352, 76.0
1353, 79.0
1354, 75.0
1355, 74.0
1356, 77.0
1357, 73.0
1358, 78.0
1359, 74.0
1360, 78.0
1361, 78.0
1362, 77.0
1363, 76.0
1364, 82.0
1365, 81.0
1366, 80.0
1367, 77.0
1368, 75.0
1369, 81.0
1370, 79.0
1371, 77.0
1372, 78.0
1373, 76.0
1374, 82.0
1375, 75.0
1376, 81.0
1377, 79.0
1378, 79.0
1379, 78.0
1380, 83.0
1381, 75.0
1382, 77.0
1383, 77.0
1384, 76.0
1385, 73.0
1386, 78.0
1387, 74.0
1388, 80.0
1389, 78.0
1390, 79.0
1391, 80.0
1392, 78.0
1393, 76.0
1394, 77.0
1395, 78.0
1396, 80.0
1397, 77.0
1398, 82.0
1399, 73.0
1400, 84.0
1401, 79.0
1402, 82.0
1403, 78.0
1404, 78.0
1405, 73.0
1406, 77.0
1407, 80.0
1408, 76.0
1409, 78.0
1410, 74.0
1411, 73.0
1412, 78.0
1413, 79.0
1414, 79.0
1415, 75.0
1416, 75.0
1417, 77.0
1418, 76.0
1419, 78.0
1420, 79.0
1421, 77.0
1422, 81.0
1423, 76.0
1424, 78.0
1425, 76.0
1426, 77.0
1427, 79.0
1428, 74.0
1429, 77.0
1430, 76.0
1431, 78.0
1432, 79.0
1433, 73.0
1434, 75.0
1435, 79.0
1436, 77.0
1437, 78.0
1438, 76.0
1439, 77.0
1440, 79.0
1441, 72.0
1442, 76.0
1443, 72.0
1444, 74.0
1445, 82.0
1446, 81.0
1447, 75.0
1448, 78.0
1449, 79.0
1450, 78.0
1451, 74.0
1452, 78.0
1453, 83.0
1454, 81.0
1455, 76.0
1456, 79.0
1457, 74.0
1458, 79.0
1459, 71.0
1460, 81.0
1461, 78.0
1462, 80.0
1463, 79.0
1464, 76.0
1465, 76.0
1466, 79.0
1467, 75.0
1468, 82.0
1469, 75.0
1470, 80.0
1471, 80.0
1472, 77.0
1473, 78.0
1474, 80.0
1475, 79.0
1476, 75.0
1477, 78.0
1478, 77.0
1479, 77.0
1480, 74.0
1481, 70.0
1482, 80.0
1483, 77.0
1484, 81.0
1485, 76.0
1486, 79.0
1487, 73.0
1488, 81.0
1489, 79.0
1490, 81.0
1491, 76.0
1492, 81.0
1493, 76.0
1494, 77.0
1495, 78.0
1496, 82.0
1497, 73.0
1498, 79.0
1499, 76.0
1500, 78.0
1501, 78.0
1502, 77.0
1503, 77.0
1504, 78.0
1505, 78.0
1506, 80.0
1507, 84.0
1508, 76.0
1509, 80.0
1510, 80.0
1511, 81.0
1512, 78.0
1513, 72.0
1514, 80.0
1515, 75.0
1516, 78.0
1517, 78.0
1518, 79.0
1519, 76.0
1520, 80.0
1521, 79.0
1522, 81.0
1523, 75.0
1524, 78.0
1525, 77.0
1526, 79.0
1527, 77.0
1528, 81.0
1529, 70.0
1530, 79.0
1531, 78.0
1532, 83.0
1533, 81.0
1534, 83.0
1535, 78.0
1536, 80.0
1537, 76.0
1538, 76.0
1539, 79.0
1540, 81.0
1541, 78.0
1542, 79.0
1543, 77.0
1544, 80.0
1545, 73.0
1546, 82.0
1547, 75.0
1548, 80.0
1549, 79.0
1550, 79.0
1551, 80.0
1552, 80.0
1553, 79.0
1554, 81.0
1555, 82.0
1556, 80.0
1557, 77.0
1558, 79.0
1559, 76.0
1560, 84.0
1561, 75.0
1562, 83.0
1563, 77.0
1564, 83.0
1565, 78.0
1566, 82.0
1567, 80.0
1568, 76.0
1569, 77.0
1570, 79.0
1571, 78.0
1572, 80.0
1573, 79.0
1574, 75.0
1575, 81.0
1576, 78.0
1577, 78.0
1578, 76.0
1579, 76.0
1580, 83.0
1581, 77.0
1582, 76.0
1583, 77.0
1584, 82.0
1585, 77.0
1586, 82.0
1587, 74.0
1588, 80.0
1589, 80.0
1590, 81.0
1591, 81.0
1592, 83.0
1593, 76.0
1594, 82.0
1595, 78.0
1596, 81.0
1597, 80.0
1598, 82.0
1599, 83.0
1600, 79.0
1601, 80.0
1602, 81.0
1603, 76.0
1604, 81.0
1605, 79.0
1606, 82.0
1607, 79.0
1608, 83.0
1609, 80.0
1610, 83.0
1611, 80.0
1612, 83.0
1613, 77.0
1614, 84.0
1615, 86.0
1616, 81.0
1617, 74.0
1618, 81.0
1619, 78.0
1620, 77.0
1621, 78.0
1622, 81.0
1623, 74.0
1624, 83.0
1625, 77.0
1626, 82.0
1627, 81.0
1628, 82.0
1629, 80.0
1630, 81.0
1631, 76.0
1632, 84.0
1633, 78.0
1634, 80.0
1635, 79.0
1636, 77.0
1637, 89.0
1638, 85.0
1639, 83.0
1640, 80.0
1641, 81.0
1642, 77.0
1643, 84.0
1644, 84.0
1645, 80.0
1646, 83.0
1647, 79.0
1648, 82.0
1649, 80.0
1650, 84.0
1651, 77.0
1652, 80.0
1653, 78.0
1654, 83.0
1655, 82.0
1656, 82.0
1657, 82.0
1658, 77.0
1659, 81.0
1660, 80.0
1661, 72.0
1662, 79.0
1663, 80.0
1664, 82.0
1665, 81.0
1666, 86.0
1667, 80.0
1668, 88.0
1669, 82.0
1670, 84.0
1671, 80.0
1672, 85.0
1673, 80.0
1674, 85.0
1675, 85.0
1676, 81.0
1677, 86.0
1678, 86.0
1679, 83.0
1680, 84.0
1681, 80.0
1682, 87.0
1683, 79.0
1684, 86.0
1685, 86.0
1686, 84.0
1687, 80.0
1688, 85.0
1689, 82.0
1690, 88.0
1691, 85.0
1692, 87.0
1693, 87.0
1694, 86.0
1695, 80.0
1696, 90.0
1697, 85.0
1698, 85.0
1699, 84.0
1700, 87.0
1701, 79.0
1702, 91.0
1703, 87.0
1704, 89.0
1705, 83.0
1706, 84.0
1707, 82.0
1708, 89.0
1709, 85.0
1710, 85.0
1711, 81.0
