Single
3648
Scan 0,   
0, 83.0
1, 76.0
2, 77.0
3, 80.0
4, 79.0
5, 81.0
6, 82.0
7, 78.0
8, 78.0
9, 80.0
10, 77.0
11, 79.0
12, 78.0
13, 75.0
14, 76.0
15, 79.0
16, 80.0
17, 78.0
18, 78.0
19, 77.0
20, 80.0
21, 79.0
22, 83.0
23, 77.0
24, 79.0
25, 81.0
26, 78.0
27, 76.0
28, 78.0
29, 78.0
30, 82.0
31, 78.0
32, 76.0
33, 76.0
34, 75.0
35, 78.0
36, 79.0
37, 78.0
38, 78.0
39, 79.0
40, 82.0
41, 77.0
42, 75.0
43, 80.0
44, 82.0
45, 80.0
46, 79.0
47, 80.0
48, 77.0
49, 77.0
50, 76.0
51, 82.0
52, 78.0
53, 76.0
54, 77.0
55, 73.0
56, 77.0
57, 75.0
58, 75.0
59, 80.0
60, 76.0
61, 76.0
62, 77.0
63, 78.0
64, 78.0
65, 80.0
66, 79.0
67, 77.0
68, 80.0
69, 75.0
70, 80.0
71, 76.0
72, 75.0
73, 77.0
74, 76.0
75, 79.0
76, 78.0
77, 79.0
78, 76.0
79, 79.0
80, 76.0
81, 78.0
82, 76.0
83, 74.0
84, 78.0
85, 79.0
86, 81.0
87, 79.0
88, 75.0
89, 80.0
90, 74.0
91, 75.0
92, 76.0
93, 76.0
94, 74.0
95, 79.0
96, 76.0
97, 79.0
98, 75.0
99, 75.0
100, 80.0
101, 73.0
102, 76.0
103, 73.0
104, 75.0
105, 77.0
106, 73.0
107, 77.0
108, 76.0
109, 77.0
110, 74.0
111, 73.0
112, 72.0
113, 75.0
114, 78.0
115, 77.0
116, 78.0
117, 78.0
118, 77.0
119, 75.0
120, 74.0
121, 73.0
122, 73.0
123, 78.0
124, 76.0
125, 77.0
126, 71.0
127, 75.0
128, 76.0
129, 76.0
130, 77.0
131, 74.0
132, 77.0
133, 74.0
134, 78.0
135, 73.0
136, 74.0
137, 75.0
138, 81.0
139, 74.0
140, 75.0
141, 77.0
142, 72.0
143, 71.0
144, 74.0
145, 75.0
146, 78.0
147, 75.0
148, 77.0
149, 80.0
150, 77.0
151, 76.0
152, 75.0
153, 78.0
154, 74.0
155, 79.0
156, 78.0
157, 78.0
158, 79.0
159, 75.0
160, 75.0
161, 76.0
162, 75.0
163, 73.0
164, 72.0
165, 78.0
166, 77.0
167, 73.0
168, 79.0
169, 77.0
170, 72.0
171, 74.0
172, 74.0
173, 73.0
174, 75.0
175, 77.0
176, 76.0
177, 73.0
178, 75.0
179, 70.0
180, 73.0
181, 75.0
182, 76.0
183, 74.0
184, 76.0
185, 73.0
186, 75.0
187, 75.0
188, 76.0
189, 77.0
190, 78.0
191, 71.0
192, 78.0
193, 75.0
194, 72.0
195, 73.0
196, 72.0
197, 78.0
198, 78.0
199, 73.0
200, 75.0
201, 77.0
202, 77.0
203, 77.0
204, 73.0
205, 79.0
206, 76.0
207, 77.0
208, 78.0
209, 76.0
210, 71.0
211, 72.0
212, 78.0
213, 77.0
214, 75.0
215, 79.0
216, 71.0
217, 76.0
218, 77.0
219, 76.0
220, 80.0
221, 74.0
222, 70.0
223, 73.0
224, 70.0
225, 81.0
226, 74.0
227, 77.0
228, 75.0
229, 73.0
230, 76.0
231, 74.0
232, 74.0
233, 70.0
234, 74.0
235, 74.0
236, 77.0
237, 80.0
238, 70.0
239, 74.0
240, 75.0
241, 75.0
242, 73.0
243, 74.0
244, 79.0
245, 76.0
246, 75.0
247, 73.0
248, 75.0
249, 76.0
250, 75.0
251, 80.0
252, 75.0
253, 74.0
254, 75.0
255, 76.0
256, 71.0
257, 73.0
258, 72.0
259, 76.0
260, 72.0
261, 69.0
262, 78.0
263, 76.0
264, 73.0
265, 76.0
266, 74.0
267, 75.0
268, 76.0
269, 74.0
270, 79.0
271, 74.0
272, 72.0
273, 79.0
274, 74.0
275, 75.0
276, 75.0
277, 73.0
278, 79.0
279, 76.0
280, 74.0
281, 74.0
282, 72.0
283, 73.0
284, 76.0
285, 76.0
286, 76.0
287, 74.0
288, 78.0
289, 79.0
290, 76.0
291, 76.0
292, 77.0
293, 75.0
294, 78.0
295, 77.0
296, 77.0
297, 70.0
298, 78.0
299, 80.0
300, 76.0
301, 72.0
302, 75.0
303, 76.0
304, 75.0
305, 75.0
306, 76.0
307, 74.0
308, 73.0
309, 74.0
310, 76.0
311, 74.0
312, 71.0
313, 76.0
314, 74.0
315, 78.0
316, 73.0
317, 76.0
318, 76.0
319, 72.0
320, 77.0
321, 75.0
322, 77.0
323, 81.0
324, 77.0
325, 69.0
326, 78.0
327, 76.0
328, 76.0
329, 75.0
330, 80.0
331, 76.0
332, 71.0
333, 75.0
334, 78.0
335, 76.0
336, 74.0
337, 76.0
338, 71.0
339, 70.0
340, 77.0
341, 73.0
342, 80.0
343, 72.0
344, 79.0
345, 75.0
346, 78.0
347, 74.0
348, 73.0
349, 77.0
350, 79.0
351, 74.0
352, 79.0
353, 75.0
354, 72.0
355, 76.0
356, 75.0
357, 76.0
358, 77.0
359, 71.0
360, 75.0
361, 73.0
362, 73.0
363, 79.0
364, 74.0
