Single
3648
Scan 0,   
0, 71.0
1, 62.0
2, 65.0
3, 64.0
4, 68.0
5, 65.0
6, 66.0
7, 64.0
8, 68.0
9, 58.0
10, 66.0
11, 69.0
12, 61.0
13, 65.0
14, 64.0
15, 61.0
16, 66.0
17, 61.0
18, 66.0
19, 66.0
20, 65.0
21, 60.0
22, 68.0
23, 66.0
24, 67.0
25, 64.0
26, 63.0
27, 64.0
28, 63.0
29, 61.0
30, 64.0
31, 61.0
32, 64.0
33, 66.0
34, 61.0
35, 63.0
36, 66.0
37, 64.0
38, 68.0
39, 63.0
40, 66.0
41, 62.0
42, 63.0
43, 66.0
44, 65.0
45, 67.0
46, 66.0
47, 67.0
48, 65.0
49, 68.0
50, 65.0
51, 63.0
52, 64.0
53, 61.0
54, 66.0
55, 60.0
56, 62.0
57, 63.0
58, 66.0
59, 65.0
60, 66.0
61, 68.0
62, 62.0
63, 70.0
64, 65.0
65, 62.0
66, 61.0
67, 64.0
68, 66.0
69, 63.0
70, 64.0
71, 64.0
72, 64.0
73, 67.0
74, 64.0
75, 65.0
76, 67.0
77, 67.0
78, 65.0
79, 67.0
80, 63.0
81, 66.0
82, 63.0
83, 70.0
84, 65.0
85, 62.0
86, 65.0
87, 64.0
88, 66.0
89, 64.0
90, 65.0
91, 65.0
92, 66.0
93, 66.0
94, 64.0
95, 65.0
96, 67.0
97, 65.0
98, 64.0
99, 61.0
100, 67.0
101, 66.0
102, 64.0
103, 63.0
104, 64.0
105, 67.0
106, 62.0
107, 60.0
108, 62.0
109, 63.0
110, 69.0
111, 65.0
112, 65.0
113, 64.0
114, 68.0
115, 65.0
116, 62.0
117, 63.0
118, 67.0
119, 64.0
120, 63.0
121, 63.0
122, 60.0
123, 63.0
124, 66.0
125, 65.0
126, 66.0
127, 64.0
128, 63.0
129, 66.0
130, 68.0
131, 64.0
132, 66.0
133, 64.0
134, 63.0
135, 64.0
136, 63.0
137, 62.0
138, 64.0
139, 64.0
140, 62.0
141, 61.0
142, 61.0
143, 63.0
144, 63.0
145, 64.0
146, 63.0
147, 70.0
148, 64.0
149, 67.0
150, 62.0
151, 58.0
152, 63.0
153, 67.0
154, 62.0
155, 68.0
156, 58.0
157, 60.0
158, 67.0
159, 66.0
160, 63.0
161, 65.0
162, 63.0
163, 69.0
164, 63.0
165, 62.0
166, 62.0
167, 67.0
168, 67.0
169, 66.0
170, 66.0
171, 65.0
172, 62.0
173, 66.0
174, 64.0
175, 66.0
176, 60.0
177, 68.0
178, 65.0
179, 67.0
180, 66.0
181, 58.0
182, 64.0
183, 65.0
184, 60.0
185, 64.0
186, 66.0
187, 70.0
188, 62.0
189, 66.0
190, 62.0
191, 63.0
192, 62.0
193, 65.0
194, 66.0
195, 60.0
196, 65.0
197, 66.0
198, 63.0
199, 63.0
200, 61.0
201, 68.0
202, 62.0
203, 63.0
204, 69.0
205, 60.0
206, 65.0
207, 63.0
208, 67.0
209, 61.0
210, 67.0
211, 66.0
212, 63.0
213, 67.0
214, 64.0
215, 66.0
216, 61.0
217, 66.0
218, 67.0
219, 62.0
220, 62.0
221, 60.0
222, 64.0
223, 66.0
224, 63.0
225, 65.0
226, 67.0
227, 69.0
228, 66.0
229, 62.0
230, 65.0
231, 61.0
232, 70.0
233, 65.0
234, 64.0
235, 65.0
236, 66.0
237, 67.0
238, 67.0
239, 65.0
240, 65.0
241, 64.0
242, 65.0
243, 69.0
244, 63.0
245, 65.0
246, 63.0
247, 61.0
248, 64.0
249, 66.0
250, 67.0
251, 67.0
252, 62.0
253, 65.0
254, 63.0
255, 66.0
256, 61.0
257, 65.0
258, 64.0
259, 62.0
260, 63.0
261, 65.0
262, 61.0
263, 64.0
264, 63.0
265, 67.0
266, 65.0
267, 64.0
268, 65.0
269, 63.0
270, 65.0
271, 63.0
272, 66.0
273, 64.0
274, 65.0
275, 67.0
276, 64.0
277, 60.0
278, 64.0
279, 63.0
280, 63.0
281, 60.0
282, 66.0
283, 66.0
284, 66.0
285, 64.0
286, 62.0
287, 63.0
288, 65.0
289, 64.0
290, 66.0
291, 66.0
292, 64.0
293, 65.0
294, 64.0
295, 64.0
296, 66.0
297, 64.0
298, 63.0
299, 63.0
300, 67.0
301, 59.0
302, 65.0
303, 61.0
304, 64.0
305, 67.0
306, 63.0
307, 63.0
308, 62.0
309, 59.0
310, 69.0
311, 64.0
312, 64.0
313, 61.0
314, 65.0
315, 64.0
316, 66.0
317, 64.0
318, 63.0
319, 63.0
320, 63.0
321, 66.0
322, 63.0
323, 64.0
324, 62.0
325, 60.0
326, 64.0
327, 64.0
328, 62.0
329, 66.0
330, 64.0
331, 64.0
332, 63.0
333, 67.0
334, 72.0
335, 64.0
336, 62.0
337, 65.0
338, 64.0
339, 64.0
340, 62.0
341, 61.0
342, 60.0
343, 65.0
344, 65.0
345, 63.0
346, 67.0
347, 64.0
348, 62.0
349, 61.0
350, 62.0
351, 66.0
352, 63.0
353, 66.0
354, 68.0
355, 68.0
356, 60.0
357, 65.0
358, 63.0
359, 62.0
360, 63.0
361, 63.0
362, 65.0
363, 65.0
364, 62.0
365, 60.0
366, 65.0
367, 65.0
368, 66.0
369, 64.0
370, 63.0
371, 66.0
372, 65.0
373, 66.0
374, 60.0
375, 63.0
376, 66.0
377, 61.0
378, 66.0
379, 64.0
380, 65.0
381, 62.0
382, 65.0
383, 63.0
384, 63.0
385, 64.0
386, 60.0
387, 62.0
388, 64.0
389, 61.0
390, 63.0
391, 64.0
392, 63.0
393, 62.0
394, 62.0
395, 65.0
396, 64.0
397, 59.0
398, 66.0
399, 64.0
400, 65.0
401, 62.0
402, 63.0
403, 64.0
404, 63.0
405, 64.0
406, 61.0
407, 63.0
408, 68.0
409, 60.0
410, 63.0
411, 63.0
412, 64.0
413, 66.0
414, 63.0
415, 65.0
416, 67.0
417, 62.0
418, 64.0
419, 68.0
420, 63.0
421, 63.0
422, 68.0
423, 67.0
424, 60.0
425, 63.0
426, 66.0
427, 64.0
428, 66.0
429, 62.0
430, 60.0
431, 65.0
432, 65.0
433, 65.0
434, 63.0
435, 59.0
436, 65.0
437, 66.0
438, 62.0
439, 64.0
440, 63.0
441, 70.0
442, 65.0
443, 65.0
444, 69.0
445, 64.0
446, 65.0
447, 60.0
448, 66.0
449, 67.0
450, 64.0
451, 63.0
452, 62.0
453, 64.0
454, 62.0
455, 68.0
456, 64.0
457, 63.0
458, 63.0
459, 62.0
460, 59.0
461, 64.0
462, 61.0
463, 63.0
464, 66.0
465, 63.0
466, 65.0
467, 63.0
468, 71.0
469, 62.0
470, 63.0
471, 64.0
472, 63.0
473, 62.0
474, 70.0
475, 64.0
476, 64.0
477, 64.0
478, 65.0
479, 65.0
480, 66.0
481, 68.0
482, 66.0
483, 67.0
484, 63.0
485, 61.0
486, 69.0
487, 63.0
488, 68.0
489, 66.0
490, 63.0
491, 64.0
492, 63.0
493, 65.0
494, 65.0
495, 61.0
496, 64.0
497, 66.0
498, 62.0
499, 64.0
500, 64.0
501, 61.0
502, 68.0
503, 63.0
504, 62.0
505, 63.0
506, 63.0
507, 61.0
508, 66.0
509, 61.0
510, 71.0
511, 63.0
512, 62.0
513, 64.0
514, 65.0
515, 66.0
516, 62.0
517, 63.0
518, 64.0
519, 64.0
520, 66.0
521, 62.0
522, 64.0
523, 65.0
524, 67.0
525, 63.0
526, 60.0
527, 64.0
528, 66.0
529, 66.0
530, 64.0
531, 63.0
532, 64.0
533, 63.0
534, 66.0
535, 64.0
536, 66.0
537, 68.0
538, 64.0
539, 63.0
540, 62.0
541, 63.0
542, 66.0
543, 67.0
544, 68.0
545, 64.0
546, 61.0
547, 62.0
548, 68.0
549, 63.0
550, 66.0
551, 64.0
552, 65.0
553, 64.0
554, 62.0
555, 63.0
556, 64.0
557, 63.0
558, 65.0
559, 68.0
560, 65.0
561, 67.0
562, 66.0
563, 64.0
564, 63.0
565, 64.0
566, 65.0
567, 66.0
568, 64.0
569, 67.0
570, 60.0
571, 68.0
572, 66.0
573, 59.0
574, 60.0
575, 61.0
576, 66.0
577, 65.0
578, 64.0
579, 65.0
580, 64.0
581, 62.0
582, 65.0
583, 62.0
584, 61.0
