-8.000000	3.245000
-7.900000	3.241000
-7.800000	3.235000
-7.700000	3.237000
-7.600000	3.235000
-7.500000	3.231000
-7.400000	3.227000
-7.300000	3.221000
-7.200000	3.220000
-7.100000	3.212000
-7.000000	3.210000
-6.900000	3.202000
-6.800000	3.194000
-6.700000	3.189000
-6.600000	3.186000
-6.500000	3.183000
-6.400000	3.180000
-6.300000	3.178000
-6.200000	3.176000
-6.100000	3.174000
-6.000000	3.173000
-5.900000	3.169000
-5.800000	3.166000
-5.700000	3.164000
-5.600000	3.162000
-5.500000	3.157000
-5.400000	3.155000
-5.300000	3.152000
-5.200000	3.149000
-5.100000	3.146000
-5.000000	3.141000
-4.900000	3.137000
-4.800000	3.133000
-4.700000	3.128000
-4.600000	3.124000
-4.500000	3.120000
-4.400000	3.114000
-4.300000	3.108000
-4.200000	3.103000
-4.100000	3.096000
-4.000000	3.089000
-3.900000	3.081000
-3.800000	3.074000
-3.700000	3.066000
-3.600000	3.057000
-3.500000	3.049000
-3.400000	3.039000
-3.300000	3.030000
-3.200000	3.018000
-3.100000	3.007000
-3.000000	2.994000
-2.900000	2.982000
-2.800000	2.968000
-2.700000	2.954000
-2.600000	2.940000
-2.500000	2.922000
-2.400000	2.899000
-2.300000	2.877000
-2.200000	2.853000
-2.100000	2.823000
-2.000000	2.794000
-1.900000	2.752000
-1.800000	2.698000
-1.700000	2.645000
-1.600000	2.587000
-1.500000	2.510000
-1.400000	2.418000
-1.300000	2.322000
-1.200000	2.198000
-1.100000	2.063000
-1.000000	1.946000
-0.900000	1.818000
-0.800000	1.683000
-0.700000	1.588000
-0.600000	1.499000
-0.500000	1.424000
-0.400000	1.369000
-0.300000	1.324000
-0.200000	1.280000
-0.100000	1.253000
0.000000	1.232000
0.100000	1.214000
0.200000	1.199000
0.300000	1.190000
0.400000	1.181000
0.500000	1.173000
0.600000	1.169000
0.700000	1.162000
0.800000	1.160000
0.900000	1.157000
1.000000	1.156000
1.100000	1.154000
1.200000	1.151000
1.300000	1.150000
1.400000	1.149000
1.500000	1.148000
1.600000	1.148000
1.700000	1.147000
1.800000	1.146000
1.900000	1.145000
2.000000	1.142000
2.100000	1.143000
2.200000	1.142000
2.300000	1.142000
2.400000	1.143000
2.500000	1.142000
2.600000	1.141000
2.700000	1.140000
2.800000	1.139000
2.900000	1.139000
3.000000	1.138000
3.100000	1.137000
3.200000	1.136000
3.300000	1.135000
3.400000	1.135000
3.500000	1.134000
3.600000	1.132000
3.700000	1.131000
3.800000	1.130000
3.900000	1.128000
4.000000	1.127000
4.100000	1.126000
4.200000	1.122000
4.300000	1.123000
4.400000	1.122000
4.500000	1.121000
4.600000	1.119000
4.700000	1.119000
4.800000	1.118000
4.900000	1.116000
5.000000	1.115000
5.100000	1.115000
5.200000	1.113000
5.300000	1.113000
5.400000	1.112000
5.500000	1.111000
5.600000	1.110000
5.700000	1.112000
5.800000	1.110000
5.900000	1.111000
6.000000	1.108000
6.100000	1.110000
6.200000	1.110000
6.300000	1.108000
6.400000	1.110000
6.500000	1.108000
6.600000	1.110000
6.700000	1.110000
6.800000	1.111000
6.900000	1.111000
7.000000	1.110000
7.100000	1.108000
7.200000	1.111000
7.300000	1.111000
7.400000	1.112000
7.500000	1.112000
7.600000	1.110000
7.700000	1.113000
7.800000	1.113000
7.900000	1.113000
8.000000	1.115000
8.100000	1.116000
